"school","department","year","funding"
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2015,801842
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2016,1201562
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2017,73248
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2018,913086
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2019,597732
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2020,992304
"Academy Of Natural Sciences Philadelphia","Directorate for Biological Sciences",2021,421181
"Academy Of Natural Sciences Philadelphia","Directorate for Geosciences",2017,109637
"Academy Of Natural Sciences Philadelphia","Directorate for Geosciences",2019,471937
"Academy Of Natural Sciences Philadelphia","Directorate for Geosciences",2024,192942
"Academy Of Natural Sciences Philadelphia","Directorate for STEM Education",2018,1199104
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2015,271356
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2017,139094
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2018,139094
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2019,278188
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2020,139094
"Administrative Resource Center, Treasury Franchise Services","Office of Budget, Finance, & Award Management",2022,139094
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2015,96858
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2016,86143
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2017,53156
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2019,63767
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2020,69213
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2021,76137
"Administrative Resource Center, Treasury Franchise Services","Office of Information & Resource Management",2022,75913
"Alabama A&M University","Directorate for Biological Sciences",2021,534963
"Alabama A&M University","Directorate for Biological Sciences",2022,209383
"Alabama A&M University","Directorate for Computer and Information Science and Engineering",2020,483522
"Alabama A&M University","Directorate for Computer and Information Science and Engineering",2022,219996
"Alabama A&M University","Directorate for Computer and Information Science and Engineering",2023,87186
"Alabama A&M University","Directorate for Computer and Information Science and Engineering",2024,1245377
"Alabama A&M University","Directorate for Engineering",2016,26363
"Alabama A&M University","Directorate for Engineering",2017,300000
"Alabama A&M University","Directorate for Engineering",2021,687851
"Alabama A&M University","Directorate for Geosciences",2016,41370
"Alabama A&M University","Directorate for Geosciences",2024,267007
"Alabama A&M University","Directorate for Mathematical and Physical Sciences",2015,345280
"Alabama A&M University","Directorate for Mathematical and Physical Sciences",2016,69741
"Alabama A&M University","Directorate for Mathematical and Physical Sciences",2017,49931
"Alabama A&M University","Directorate for Mathematical and Physical Sciences",2018,628558
"Alabama A&M University","Directorate for STEM Education",2015,1179898
"Alabama A&M University","Directorate for STEM Education",2016,1886732
"Alabama A&M University","Directorate for STEM Education",2018,1798909
"Alabama A&M University","Directorate for STEM Education",2021,5400593
"Alabama A&M University","Directorate for STEM Education",2022,452831
