"institution","rank","source","dollars"
"All institutions",NA,"all r d expenditures",108681008000
"All institutions",NA,"federal government",59603993000
"All institutions",NA,"state and local government",5437566000
"All institutions",NA,"institution funds",27654829000
"All institutions",NA,"business",6221128000
"All institutions",NA,"nonprofit organizations",6671012000
"All institutions",NA,"all other sources",3092480000
"Johns Hopkins U",1,"all r d expenditures",3801585000
"Johns Hopkins U",1,"federal government",3324551000
"Johns Hopkins U",1,"state and local government",10271000
"Johns Hopkins U",1,"institution funds",164758000
"Johns Hopkins U",1,"business",126685000
"Johns Hopkins U",1,"nonprofit organizations",168401000
"Johns Hopkins U",1,"all other sources",6919000
"U. California, San Francisco",2,"all r d expenditures",2046539000
"U. California, San Francisco",2,"federal government",858066000
"U. California, San Francisco",2,"state and local government",45056000
"U. California, San Francisco",2,"institution funds",505006000
"U. California, San Francisco",2,"business",143206000
"U. California, San Francisco",2,"nonprofit organizations",313964000
"U. California, San Francisco",2,"all other sources",181241000
"U. Pennsylvania",3,"all r d expenditures",1953617000
"U. Pennsylvania",3,"federal government",936469000
"U. Pennsylvania",3,"state and local government",27849000
"U. Pennsylvania",3,"institution funds",642815000
"U. Pennsylvania",3,"business",203003000
"U. Pennsylvania",3,"nonprofit organizations",134455000
"U. Pennsylvania",3,"all other sources",9026000
"U. Michigan, Ann Arbor",4,"all r d expenditures",1925875000
"U. Michigan, Ann Arbor",4,"federal government",1041430000
"U. Michigan, Ann Arbor",4,"state and local government",1934000
"U. Michigan, Ann Arbor",4,"institution funds",679205000
"U. Michigan, Ann Arbor",4,"business",113903000
"U. Michigan, Ann Arbor",4,"nonprofit organizations",80894000
"U. Michigan, Ann Arbor",4,"all other sources",8509000
"U. Washington, Seattle",5,"all r d expenditures",1734091000
"U. Washington, Seattle",5,"federal government",1188836000
"U. Washington, Seattle",5,"state and local government",33833000
"U. Washington, Seattle",5,"institution funds",125390000
"U. Washington, Seattle",5,"business",71487000
"U. Washington, Seattle",5,"nonprofit organizations",260986000
"U. Washington, Seattle",5,"all other sources",53559000
"U. Wisconsin-Madison",6,"all r d expenditures",1731949000
"U. Wisconsin-Madison",6,"federal government",816814000
"U. Wisconsin-Madison",6,"state and local government",125524000
"U. Wisconsin-Madison",6,"institution funds",542782000
"U. Wisconsin-Madison",6,"business",46133000
"U. Wisconsin-Madison",6,"nonprofit organizations",153068000
"U. Wisconsin-Madison",6,"all other sources",47628000
"U. California, Los Angeles",7,"all r d expenditures",1721665000
"U. California, Los Angeles",7,"federal government",878571000
"U. California, Los Angeles",7,"state and local government",105632000
"U. California, Los Angeles",7,"institution funds",354575000
"U. California, Los Angeles",7,"business",109531000
"U. California, Los Angeles",7,"nonprofit organizations",219227000
"U. California, Los Angeles",7,"all other sources",54129000
"U. California, San Diego",8,"all r d expenditures",1705410000
"U. California, San Diego",8,"federal government",1083790000
"U. California, San Diego",8,"state and local government",70790000
"U. California, San Diego",8,"institution funds",250973000
"U. California, San Diego",8,"business",96416000
"U. California, San Diego",8,"nonprofit organizations",109398000
"U. California, San Diego",8,"all other sources",94043000
"U. North Carolina, Chapel Hill",9,"all r d expenditures",1549617000
"U. North Carolina, Chapel Hill",9,"federal government",907710000
"U. North Carolina, Chapel Hill",9,"state and local government",61576000
"U. North Carolina, Chapel Hill",9,"institution funds",407817000
"U. North Carolina, Chapel Hill",9,"business",58179000
"U. North Carolina, Chapel Hill",9,"nonprofit organizations",92573000
"U. North Carolina, Chapel Hill",9,"all other sources",21762000
"Stanford U.",10,"all r d expenditures",1537846000
"Stanford U.",10,"federal government",943669000
"Stanford U.",10,"state and local government",31872000
"Stanford U.",10,"institution funds",189108000
"Stanford U.",10,"business",144300000
"Stanford U.",10,"nonprofit organizations",219578000
"Stanford U.",10,"all other sources",9319000
"Duke U.",11,"all r d expenditures",1507996000
"Duke U.",11,"federal government",974202000
"Duke U.",11,"state and local government",773000
"Duke U.",11,"institution funds",191004000
"Duke U.",11,"business",219452000
"Duke U.",11,"nonprofit organizations",96327000
"Duke U.",11,"all other sources",26238000
"New York U.",12,"all r d expenditures",1457424000
"New York U.",12,"federal government",787204000
"New York U.",12,"state and local government",9599000
"New York U.",12,"institution funds",327502000
"New York U.",12,"business",73289000
"New York U.",12,"nonprofit organizations",118376000
"New York U.",12,"all other sources",141454000
"Cornell U.",13,"all r d expenditures",1451971000
"Cornell U.",13,"federal government",705132000
"Cornell U.",13,"state and local government",95202000
"Cornell U.",13,"institution funds",276682000
"Cornell U.",13,"business",59081000
"Cornell U.",13,"nonprofit organizations",129082000
"Cornell U.",13,"all other sources",186792000
"Ohio State U.",14,"all r d expenditures",1449188000
"Ohio State U.",14,"federal government",694647000
"Ohio State U.",14,"state and local government",64139000
"Ohio State U.",14,"institution funds",424124000
"Ohio State U.",14,"business",155194000
"Ohio State U.",14,"nonprofit organizations",63964000
"Ohio State U.",14,"all other sources",47120000
"Harvard U.",15,"all r d expenditures",1435218000
"Harvard U.",15,"federal government",639953000
"Harvard U.",15,"state and local government",4250000
"Harvard U.",15,"institution funds",488906000
"Harvard U.",15,"business",71497000
"Harvard U.",15,"nonprofit organizations",202605000
"Harvard U.",15,"all other sources",28007000
"Georgia Institute of Technology",16,"all r d expenditures",1405080000
"Georgia Institute of Technology",16,"federal government",1083903000
"Georgia Institute of Technology",16,"state and local government",128291000
"Georgia Institute of Technology",16,"institution funds",61494000
"Georgia Institute of Technology",16,"business",94476000
"Georgia Institute of Technology",16,"nonprofit organizations",31073000
"Georgia Institute of Technology",16,"all other sources",5843000
"U. Pittsburgh, Pittsburgh",17,"all r d expenditures",1398078000
"U. Pittsburgh, Pittsburgh",17,"federal government",916735000
"U. Pittsburgh, Pittsburgh",17,"state and local government",11421000
"U. Pittsburgh, Pittsburgh",17,"institution funds",315634000
"U. Pittsburgh, Pittsburgh",17,"business",43372000
"U. Pittsburgh, Pittsburgh",17,"nonprofit organizations",64516000
"U. Pittsburgh, Pittsburgh",17,"all other sources",46400000
"U. Marylandb",18,"all r d expenditures",1385302000
"U. Marylandb",18,"federal government",825546000
"U. Marylandb",18,"state and local government",57007000
"U. Marylandb",18,"institution funds",401833000
"U. Marylandb",18,"business",37011000
"U. Marylandb",18,"nonprofit organizations",54377000
"U. Marylandb",18,"all other sources",9528000
"Columbia U. in the City of New York",19,"all r d expenditures",1341952000
"Columbia U. in the City of New York",19,"federal government",988670000
"Columbia U. in the City of New York",19,"state and local government",6298000
"Columbia U. in the City of New York",19,"institution funds",119863000
