"institution","rank","agency","dollars"
"All institutions",NA,"all federal r d expenditures",59603993000
"All institutions",NA,"dod",9047729000
"All institutions",NA,"doe",2671326000
"All institutions",NA,"hhs",33097927000
"All institutions",NA,"nasa",2295593000
"All institutions",NA,"nsf",6699546000
"All institutions",NA,"usda",1700216000
"All institutions",NA,"othera",4091656000
"Johns Hopkins U",1,"all federal r d expenditures",3324551000
"Johns Hopkins U",1,"dod",1628821000
"Johns Hopkins U",1,"doe",11671000
"Johns Hopkins U",1,"hhs",919852000
"Johns Hopkins U",1,"nasa",515047000
"Johns Hopkins U",1,"nsf",40834000
"Johns Hopkins U",1,"usda",3553000
"Johns Hopkins U",1,"othera",204773000
"U. Washington, Seattle",2,"all federal r d expenditures",1188836000
"U. Washington, Seattle",2,"dod",126010000
"U. Washington, Seattle",2,"doe",41413000
"U. Washington, Seattle",2,"hhs",770184000
"U. Washington, Seattle",2,"nasa",22518000
"U. Washington, Seattle",2,"nsf",142970000
"U. Washington, Seattle",2,"usda",7610000
"U. Washington, Seattle",2,"othera",78131000
"Georgia Institute of Technology",3,"all federal r d expenditures",1083903000
"Georgia Institute of Technology",3,"dod",811759000
"Georgia Institute of Technology",3,"doe",26089000
"Georgia Institute of Technology",3,"hhs",52938000
"Georgia Institute of Technology",3,"nasa",17355000
"Georgia Institute of Technology",3,"nsf",79048000
"Georgia Institute of Technology",3,"usda",1124000
"Georgia Institute of Technology",3,"othera",95590000
"U. California, San Diego",4,"all federal r d expenditures",1083790000
"U. California, San Diego",4,"dod",126228000
"U. California, San Diego",4,"doe",38680000
"U. California, San Diego",4,"hhs",688073000
"U. California, San Diego",4,"nasa",16704000
"U. California, San Diego",4,"nsf",163266000
"U. California, San Diego",4,"usda",3062000
"U. California, San Diego",4,"othera",47777000
"U. Michigan, Ann Arbor",5,"all federal r d expenditures",1041430000
"U. Michigan, Ann Arbor",5,"dod",79110000
"U. Michigan, Ann Arbor",5,"doe",48259000
"U. Michigan, Ann Arbor",5,"hhs",728763000
"U. Michigan, Ann Arbor",5,"nasa",31693000
"U. Michigan, Ann Arbor",5,"nsf",109808000
"U. Michigan, Ann Arbor",5,"usda",1578000
"U. Michigan, Ann Arbor",5,"othera",42219000
"Columbia U. in the City of New York",6,"all federal r d expenditures",988670000
"Columbia U. in the City of New York",6,"dod",58296000
"Columbia U. in the City of New York",6,"doe",25171000
"Columbia U. in the City of New York",6,"hhs",766707000
"Columbia U. in the City of New York",6,"nasa",24482000
"Columbia U. in the City of New York",6,"nsf",105818000
"Columbia U. in the City of New York",6,"usda",502000
"Columbia U. in the City of New York",6,"othera",7694000
"Duke U.",7,"all federal r d expenditures",974202000
"Duke U.",7,"dod",61598000
"Duke U.",7,"doe",18482000
"Duke U.",7,"hhs",833339000
"Duke U.",7,"nasa",2223000
"Duke U.",7,"nsf",45599000
"Duke U.",7,"usda",998000
"Duke U.",7,"othera",11963000
"Stanford U.",8,"all federal r d expenditures",943669000
"Stanford U.",8,"dod",87775000
"Stanford U.",8,"doe",31180000
"Stanford U.",8,"hhs",712159000
"Stanford U.",8,"nasa",22178000
"Stanford U.",8,"nsf",79757000
"Stanford U.",8,"usda",1014000
"Stanford U.",8,"othera",9606000
"U. Pennsylvania",9,"all federal r d expenditures",936469000
"U. Pennsylvania",9,"dod",53246000
"U. Pennsylvania",9,"doe",15424000
"U. Pennsylvania",9,"hhs",784145000
"U. Pennsylvania",9,"nasa",2941000
"U. Pennsylvania",9,"nsf",59837000
"U. Pennsylvania",9,"usda",1818000
"U. Pennsylvania",9,"othera",19058000
"U. Pittsburgh, Pittsburgh",10,"all federal r d expenditures",916735000
"U. Pittsburgh, Pittsburgh",10,"dod",70896000
"U. Pittsburgh, Pittsburgh",10,"doe",13238000
"U. Pittsburgh, Pittsburgh",10,"hhs",777420000
"U. Pittsburgh, Pittsburgh",10,"nasa",3546000
"U. Pittsburgh, Pittsburgh",10,"nsf",38493000
"U. Pittsburgh, Pittsburgh",10,"usda",518000
"U. Pittsburgh, Pittsburgh",10,"othera",12624000
"U. North Carolina, Chapel Hill",11,"all federal r d expenditures",907710000
"U. North Carolina, Chapel Hill",11,"dod",26942000
"U. North Carolina, Chapel Hill",11,"doe",10693000
"U. North Carolina, Chapel Hill",11,"hhs",729970000
"U. North Carolina, Chapel Hill",11,"nasa",1887000
"U. North Carolina, Chapel Hill",11,"nsf",48106000
"U. North Carolina, Chapel Hill",11,"usda",2554000
"U. North Carolina, Chapel Hill",11,"othera",87558000
"U. California, Los Angeles",12,"all federal r d expenditures",878571000
"U. California, Los Angeles",12,"dod",53640000
"U. California, Los Angeles",12,"doe",45265000
"U. California, Los Angeles",12,"hhs",652981000
"U. California, Los Angeles",12,"nasa",30978000
