school,department,year,funding
Albany Medical College,Anatomy/Cell Biology,2015,1039850
Albany Medical College,Internal Medicine,2015,0
Albany Medical College,Microbiology/Immunology/Virology,2015,3859064
Albany Medical College,None,2015,0
Albany Medical College,Other Basic Sciences,2015,3032277
Albany Medical College,Pharmacology,2015,345625
Albany Medical College,Physiology,2015,0
Albany Medical College,Surgery,2015,0
Albany Medical College,Total Funding,2015,8276816
Albert Einstein College Of Medicine,Anatomy/Cell Biology,2015,20047981
Albert Einstein College Of Medicine,Anesthesiology,2015,375750
Albert Einstein College Of Medicine,Biochemistry,2015,6188657
Albert Einstein College Of Medicine,Emergency Medicine,2015,133758
Albert Einstein College Of Medicine,Family Medicine,2015,1443288
Albert Einstein College Of Medicine,Genetics,2015,7965671
Albert Einstein College Of Medicine,Internal Medicine,2015,47443610
Albert Einstein College Of Medicine,Microbiology/Immunology/Virology,2015,11502756
Albert Einstein College Of Medicine,Neurology,2015,7334880
Albert Einstein College Of Medicine,Neurosciences,2015,9473446
Albert Einstein College Of Medicine,Neurosurgery,2015,0
Albert Einstein College Of Medicine,No Code Assigned,2015,0
Albert Einstein College Of Medicine,None,2015,253534
Albert Einstein College Of Medicine,Ob/Gyn,2015,808513
Albert Einstein College Of Medicine,Ophthalmology,2015,1473466
Albert Einstein College Of Medicine,Orthopedics,2015,0
Albert Einstein College Of Medicine,Otolaryngology,2015,0
Albert Einstein College Of Medicine,Pathology,2015,3108165
Albert Einstein College Of Medicine,Pediatrics,2015,7285667
Albert Einstein College Of Medicine,Pharmacology,2015,5121636
Albert Einstein College Of Medicine,Physiology,2015,5974756
Albert Einstein College Of Medicine,Psychiatry,2015,1203784
Albert Einstein College Of Medicine,Public Health & Preventive Medicine,2015,2854866
Albert Einstein College Of Medicine,Radiation Diagnostic Oncology,2015,1503477
Albert Einstein College Of Medicine,Surgery,2015,698921
Albert Einstein College Of Medicine,Total Funding,2015,142196582
Albert Einstein College Of Medicine,Urology,2015,0
Augusta University,Anatomy/Cell Biology,2015,0
Augusta University,Biochemistry,2015,0
Augusta University,Biostatistics/Other Math Science,2015,0
Augusta University,Internal Medicine,2015,0
Augusta University,Neurology,2015,0
Augusta University,Neurosciences,2015,0
Augusta University,Neurosurgery,2015,0
Augusta University,None,2015,0
Augusta University,Ob/Gyn,2015,0
Augusta University,Ophthalmology,2015,0
Augusta University,Orthopedics,2015,0
Augusta University,Other Basic Sciences,2015,0
Augusta University,Pathology,2015,0
Augusta University,Pediatrics,2015,0
Augusta University,Pharmacology,2015,0
Augusta University,Physiology,2015,0
Augusta University,Psychiatry,2015,0
Augusta University,Radiation Diagnostic Oncology,2015,0
Augusta University,Surgery,2015,0
Augusta University,Total Funding,2015,0
Augusta University,Urology,2015,0
Baylor College Of Medicine,Anatomy/Cell Biology,2015,15753288
Baylor College Of Medicine,Anesthesiology,2015,778219
Baylor College Of Medicine,Biochemistry,2015,9149152
Baylor College Of Medicine,Family Medicine,2015,286989
Baylor College Of Medicine,Genetics,2015,74607471
Baylor College Of Medicine,Internal Medicine,2015,22569179
Baylor College Of Medicine,Microbiology/Immunology/Virology,2015,9241023
Baylor College Of Medicine,Neurology,2015,3073665
Baylor College Of Medicine,Neurosciences,2015,9179558
Baylor College Of Medicine,Neurosurgery,2015,945219
Baylor College Of Medicine,None,2015,2063596
Baylor College Of Medicine,Ob/Gyn,2015,1714277
Baylor College Of Medicine,Ophthalmology,2015,2629196
Baylor College Of Medicine,Orthopedics,2015,348700
Baylor College Of Medicine,Otolaryngology,2015,1318026
Baylor College Of Medicine,Pathology,2015,4816083
Baylor College Of Medicine,Pediatrics,2015,33168926
Baylor College Of Medicine,Pharmacology,2015,2113948
Baylor College Of Medicine,Physical Medicine & Rehab,2015,320719
Baylor College Of Medicine,Physiology,2015,6392472
Baylor College Of Medicine,Psychiatry,2015,2230305
Baylor College Of Medicine,Radiation Diagnostic Oncology,2015,0
Baylor College Of Medicine,Surgery,2015,2270920
Baylor College Of Medicine,Total Funding,2015,206422028
Baylor College Of Medicine,Urology,2015,1451097
Boston University Medical Campus,Anatomy/Cell Biology,2015,3705200
Boston University Medical Campus,Anesthesiology,2015,0
Boston University Medical Campus,Biochemistry,2015,6560375
Boston University Medical Campus,Dermatology,2015,1149343
Boston University Medical Campus,Family Medicine,2015,0
Boston University Medical Campus,Genetics,2015,0
Boston University Medical Campus,Internal Medicine,2015,34395857
Boston University Medical Campus,Microbiology/Immunology/Virology,2015,16067342
Boston University Medical Campus,Neurology,2015,9513369
Boston University Medical Campus,None,2015,0
Boston University Medical Campus,Ob/Gyn,2015,2653899
Boston University Medical Campus,Ophthalmology,2015,1110951
Boston University Medical Campus,Orthopedics,2015,1188419
Boston University Medical Campus,Pathology,2015,2419891
Boston University Medical Campus,Pediatrics,2015,0
Boston University Medical Campus,Pharmacology,2015,5595525
Boston University Medical Campus,Physiology,2015,4262767
Boston University Medical Campus,Psychiatry,2015,1774558
Boston University Medical Campus,Public Health & Preventive Medicine,2015,2977082
Boston University Medical Campus,Radiation Diagnostic Oncology,2015,0
Boston University Medical Campus,Surgery,2015,406179
Boston University Medical Campus,Total Funding,2015,93780757
Brown University,Biochemistry,2015,9200412
Brown University,Dermatology,2015,221938
Brown University,Internal Medicine,2015,691560
Brown University,Microbiology/Immunology/Virology,2015,2596946
Brown University,Neurosciences,2015,7447103
Brown University,None,2015,1341813
Brown University,Pathology,2015,3561452
Brown University,Pediatrics,2015,0
Brown University,Pharmacology,2015,1975947
Brown University,Psychiatry,2015,4509447
Brown University,Public Health & Preventive Medicine,2015,507419
Brown University,Surgery,2015,0
Brown University,Total Funding,2015,33619562
Brown University,Urology,2015,1565525
Case Western Reserve U & Cleveland Clinic Lerner Com,Anesthesiology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Biochemistry,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Biomedical Engineering,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Dermatology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Engineering All Types,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Family Medicine,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Genetics,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Internal Medicine,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Neurology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Neurosciences,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Neurosurgery,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Nutrition,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Ob/Gyn,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Ophthalmology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Orthopedics,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Other Basic Sciences,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Otolaryngology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Pathology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Pediatrics,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Pharmacology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Physical Medicine & Rehab,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Physiology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Psychiatry,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Public Health & Preventive Medicine,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Radiation Diagnostic Oncology,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Surgery,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Total Funding,2015,0
Case Western Reserve U & Cleveland Clinic Lerner Com,Urology,2015,0
Case Western Reserve University,Anesthesiology,2015,0
Case Western Reserve University,Biochemistry,2015,9937555
Case Western Reserve University,Biomedical Engineering,2015,0
Case Western Reserve University,Biostatistics/Other Math Science,2015,0
Case Western Reserve University,Dermatology,2015,2980424
Case Western Reserve University,Engineering All Types,2015,0
Case Western Reserve University,Family Medicine,2015,1090184
Case Western Reserve University,Genetics,2015,8427519
Case Western Reserve University,Internal Medicine,2015,45031291
Case Western Reserve University,Neurology,2015,2552156
Case Western Reserve University,Neurosciences,2015,4813939
Case Western Reserve University,Neurosurgery,2015,1087525
Case Western Reserve University,None,2015,0
Case Western Reserve University,Nutrition,2015,881776
Case Western Reserve University,Ob/Gyn,2015,675071
Case Western Reserve University,Ophthalmology,2015,6052619
Case Western Reserve University,Orthopedics,2015,2385288
Case Western Reserve University,Other Basic Sciences,2015,80827005
Case Western Reserve University,Other Health Professions,2015,0
Case Western Reserve University,Otolaryngology,2015,801826
Case Western Reserve University,Pathology,2015,13588621
Case Western Reserve University,Pediatrics,2015,30143200
Case Western Reserve University,Pharmacology,2015,5717615
Case Western Reserve University,Physical Medicine & Rehab,2015,1315111
Case Western Reserve University,Physiology,2015,4756036
Case Western Reserve University,Psychiatry,2015,1228960
Case Western Reserve University,Public Health & Preventive Medicine,2015,0
Case Western Reserve University,Radiation Diagnostic Oncology,2015,7223424
Case Western Reserve University,Surgery,2015,1687118
Case Western Reserve University,Total Funding,2015,234563052
Case Western Reserve University,Urology,2015,1358789
Central Michigan University,Internal Medicine,2015,0
Central Michigan University,None,2015,691834
Central Michigan University,Total Funding,2015,691834
Charles R. Drew University Of Med & Sci,Family Medicine,2015,525866
Charles R. Drew University Of Med & Sci,Internal Medicine,2015,12807979
Charles R. Drew University Of Med & Sci,Psychiatry,2015,0
Charles R. Drew University Of Med & Sci,Total Funding,2015,13333845
City College Of New York,None,2015,0
City College Of New York,Other Basic Sciences,2015,0
City College Of New York,Total Funding,2015,0
Columbia University Health Sciences,Anesthesiology,2015,3858876
Columbia University Health Sciences,Biochemistry,2015,16771667
Columbia University Health Sciences,Dermatology,2015,2964717
Columbia University Health Sciences,Emergency Medicine,2015,0
Columbia University Health Sciences,Genetics,2015,17763028
Columbia University Health Sciences,Internal Medicine,2015,95440912
Columbia University Health Sciences,Microbiology/Immunology/Virology,2015,10647790
Columbia University Health Sciences,Neurology,2015,28616842
Columbia University Health Sciences,Neurosciences,2015,7495447
Columbia University Health Sciences,Neurosurgery,2015,1351962
Columbia University Health Sciences,Ob/Gyn,2015,3835851
Columbia University Health Sciences,Ophthalmology,2015,7756768
Columbia University Health Sciences,Orthopedics,2015,2108745
Columbia University Health Sciences,Otolaryngology,2015,1454461
Columbia University Health Sciences,Pathology,2015,24984709
Columbia University Health Sciences,Pediatrics,2015,12461563
Columbia University Health Sciences,Pharmacology,2015,1758458
Columbia University Health Sciences,Physical Medicine & Rehab,2015,433027
Columbia University Health Sciences,Physiology,2015,4844959
Columbia University Health Sciences,Psychiatry,2015,14957699
Columbia University Health Sciences,Radiation Diagnostic Oncology,2015,13876619
Columbia University Health Sciences,Surgery,2015,4109089
Columbia University Health Sciences,Total Funding,2015,280486544
Columbia University Health Sciences,Urology,2015,2993355
Creighton University,Internal Medicine,2015,0
Creighton University,Microbiology/Immunology/Virology,2015,1383864
Creighton University,Other Basic Sciences,2015,3301292
Creighton University,Other Clinical Sciences,2015,0
Creighton University,Pharmacology,2015,1212809
Creighton University,Total Funding,2015,5897965
Dartmouth College,Anatomy/Cell Biology,2015,0
Dartmouth College,Biochemistry,2015,6829276
Dartmouth College,Family Medicine,2015,7942521
Dartmouth College,Genetics,2015,4742338
Dartmouth College,Internal Medicine,2015,3862708
Dartmouth College,Microbiology/Immunology/Virology,2015,16877548
Dartmouth College,Neurology,2015,345625
Dartmouth College,None,2015,1551754
Dartmouth College,Ob/Gyn,2015,0
Dartmouth College,Orthopedics,2015,0
Dartmouth College,Other Basic Sciences,2015,0
Dartmouth College,Pathology,2015,405000
Dartmouth College,Pediatrics,2015,6051981
Dartmouth College,Pharmacology,2015,2740754
Dartmouth College,Physiology,2015,2869179
Dartmouth College,Psychiatry,2015,15496742
