"institution","rank","field","measure_type","dollars"
"All institutions",NA,"all r d expenditures","All",108681008000
"All institutions",NA,"computer and information sciences","All",3617348000
"All institutions",NA,"geosciences atmospheric sciences and ocean sciences","All",4032534000
"All institutions",NA,"life sciences","All",62204360000
"All institutions",NA,"mathematics and statistics","All",1060700000
"All institutions",NA,"physical sciences","All",6944769000
"All institutions",NA,"psychology","All",1637829000
"All institutions",NA,"social sciences","All",3615227000
"All institutions",NA,"sciences nec","All",1194804000
"All institutions",NA,"engineering","All",17468446000
"All institutions",NA,"all non s e fields","All",6904991000
"Johns Hopkins U",1,"all r d expenditures","All",3801585000
"Johns Hopkins U",1,"computer and information sciences","All",309828000
"Johns Hopkins U",1,"geosciences atmospheric sciences and ocean sciences","All",72538000
"Johns Hopkins U",1,"life sciences","All",1264589000
"Johns Hopkins U",1,"mathematics and statistics","All",230354000
"Johns Hopkins U",1,"physical sciences","All",332727000
"Johns Hopkins U",1,"psychology","All",8378000
"Johns Hopkins U",1,"social sciences","All",11336000
"Johns Hopkins U",1,"sciences nec","All",64191000
"Johns Hopkins U",1,"engineering","All",1493689000
"Johns Hopkins U",1,"all non s e fields","All",13955000
"U. California, San Francisco",2,"all r d expenditures","All",2046539000
"U. California, San Francisco",2,"computer and information sciences","All",0
"U. California, San Francisco",2,"geosciences atmospheric sciences and ocean sciences","All",0
"U. California, San Francisco",2,"life sciences","All",1978891000
"U. California, San Francisco",2,"mathematics and statistics","All",0
"U. California, San Francisco",2,"physical sciences","All",67648000
"U. California, San Francisco",2,"psychology","All",0
"U. California, San Francisco",2,"social sciences","All",0
"U. California, San Francisco",2,"sciences nec","All",0
"U. California, San Francisco",2,"engineering","All",0
"U. California, San Francisco",2,"all non s e fields","All",0
"U. Pennsylvania",3,"all r d expenditures","All",1953617000
"U. Pennsylvania",3,"computer and information sciences","All",21066000
"U. Pennsylvania",3,"geosciences atmospheric sciences and ocean sciences","All",2293000
"U. Pennsylvania",3,"life sciences","All",1497834000
"U. Pennsylvania",3,"mathematics and statistics","All",8603000
"U. Pennsylvania",3,"physical sciences","All",72101000
"U. Pennsylvania",3,"psychology","All",17413000
"U. Pennsylvania",3,"social sciences","All",66203000
"U. Pennsylvania",3,"sciences nec","All",9310000
"U. Pennsylvania",3,"engineering","All",112740000
"U. Pennsylvania",3,"all non s e fields","All",146054000
